URL, Email
"https://cvvp.nva.gov.lv/#/pub/vakances/445865396", "hr.lv@stenaline.comar"
"https://cvvp.nva.gov.lv/#/pub/vakances/445862571", "infosearchsia@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445865047", "hr.lv@stenaline.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445854046", "vakances@balticrest.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445858005", "sacbrize@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445785550", "vakances@kekavafoods.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445861270", "cv@vsackurzeme.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445773473", "vecsaule@bauskasnovads.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445858946", "career@erbrail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445858946", "natalja.lace@erbrail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445739038", "montelux@inbox.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445740440", "montelux@inbox.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445860351", "infosearchsia@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445839980", "bangaltd@bangaltd.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445678941", "aleratur@inbox.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445678941", "natali.sproge@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445678941", "desecomonolits@inbox.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445858687", "ilze.undrulova@rigasudens.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445858062", "cv@madara89.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445853561", "kristine.motivane@forevers.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445857491", "hr.lv@stenaline.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445753415", "leadstaff2025@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445843959", "darbs@maxima.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445727676", "edite.ulinska@bauskasnovads.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445850071", "cv@madara89.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445724804", "personals@viziiurban.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445851941", "careers@airbaltic.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445772856", "cv@maiznieks.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445792874", "cv@maiznieks.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445774487", "cv@maiznieks.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445846857", "%d1%81v@smd-baltic.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445846857", "v@smd-baltic.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445846857", "cv@smd-baltic.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445851487", "vbrugis@inbox.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445851292", "vbrugis@inbox.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445850660", "vbrugis@inbox.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445848433", "vakance@marupe.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445748013", "miesnieks@ledurgas.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445840407", "elina.saleniece@forevers.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445846302", "piisaulite@edu.jurmala.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445846302", "pasts@jurmala.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445839788", "vakances@ropazi.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445839788", "novada.dome@ropazi.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445843668", "aivarspfy@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445842467", "pasts@ievp.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445842467", "datu.specialists@ievp.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445745376", "staffrentgrouplv@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445841652", "konkursi@nva.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445843509", "inese@damaksnis.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445835634", "atlase@lm.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445835813", "sekretare@gkb.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445765006", "cv@innova.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445835948", "6vsk@rezekne.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445831419", "info@rezeknesnovads.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445831419", "juris.zvidrins@rezeknesnovads.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445828288", "ulvis@hodos.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445836331", "personals@lnrmm.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445836230", "personals@jrslimnica.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445656353", "ijj.co.cia@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445656353", "igj.co.sia@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445810956", "info@projektill.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445789341", "limbazi@limbazunovads.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445790290", "skulte@limbazunovads.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445826291", "urgas.an@limbazunovads.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445811983", "cv@madara89.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445827411", "urgas.an@limbazunovads.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445812312", "cv@madara89.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445819218", "atlase@vsacriga.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445826173", "savalogistic@inbox.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445804292", "kadri@dpns.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445616943", "nordicelitelatvia@gmail.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445809266", "personals@stokker.com"
"https://cvvp.nva.gov.lv/#/pub/vakances/445202724", "pasts@vm.gov.lv"
"https://cvvp.nva.gov.lv/#/pub/vakances/445813509", "personals@karamuzejs.lv"
